"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1940,62.4656,113.103,163.058,205.5,237.1,257.091,266.298,266.367,259.246,246.856,230.916,212.865,193.848,174.732,156.141,138.501,122.079,107.019,93.3766,81.1408,70.2581,60.6465,52.208,44.837,38.4265,32.8723,28.0757,23.945,20.3965,17.3547,14.7523,12.5293,10.6332,9.01801,7.64363,6.47531,5.48301,4.64086,3.92663,3.32124,18.255
1941,62.4589,113.104,163.056,205.497,237.096,257.088,266.293,266.358,259.224,246.812,230.843,212.763,193.72,174.586,155.985,138.343,121.925,106.874,93.2415,81.0177,70.1474,60.548,52.1211,44.7608,38.3602,32.8147,28.0259,23.9021,20.3597,17.3232,14.7253,12.5063,10.6136,9.00131,7.62943,6.46324,5.47277,4.63217,3.91926,3.315,18.2204
1942,62.4439,113.092,163.054,205.49,237.087,257.077,266.277,266.331,259.172,246.716,230.688,212.543,193.442,174.264,155.639,137.989,121.578,106.543,92.9336,80.7362,69.8937,60.3219,51.9213,44.5856,38.2074,32.6822,27.9113,23.8034,20.2749,17.2505,14.6631,12.4532,10.5683,8.96279,7.59667,6.43541,5.44914,4.61213,3.90227,3.30061,18.1405
1943,62.4179,113.065,163.033,205.482,237.073,257.062,266.261,266.306,259.118,246.6,230.479,212.223,193.015,173.752,155.07,137.395,120.985,105.971,92.3968,80.2421,69.446,59.9212,51.5663,44.2734,37.9346,32.4451,27.7061,23.6264,20.1227,17.1201,14.5515,12.3578,10.487,8.89351,7.53773,6.38532,5.40661,4.57605,3.87168,3.27468,17.9965
1944,62.3255,113.018,162.966,205.421,237.022,256.991,266.157,266.12,258.763,245.973,229.498,210.868,191.329,171.82,152.998,135.281,118.91,103.994,90.5569,78.5602,67.93,58.5699,50.3725,43.2264,37.0217,31.6529,27.0215,23.0367,19.6162,16.686,14.1803,12.0409,10.2169,8.66353,7.34215,6.21916,5.26556,4.4564,3.77026,3.18875,17.5199
1945,62.2029,112.85,162.889,205.325,236.941,256.932,266.096,266.037,258.571,245.525,228.642,209.516,189.487,169.575,150.48,132.629,116.247,101.414,88.1253,76.3164,65.8931,56.7445,48.7532,41.8015,35.7761,30.5698,26.0839,22.228,18.9208,16.0896,13.6699,11.6049,9.84499,8.3468,7.07271,5.99018,5.07113,4.29144,3.63039,3.07023,16.8621
1946,61.9896,112.629,162.605,205.173,236.762,256.748,265.873,265.668,257.923,244.405,226.868,206.989,186.234,165.733,146.251,128.224,111.853,97.1782,84.1458,72.6532,62.5744,53.7752,46.1226,39.4895,33.757,28.8158,24.5666,20.9202,17.7968,15.126,12.8456,10.9011,9.24492,7.83586,6.63816,5.62096,4.7577,4.02556,3.40499,2.87926,15.8033
1947,61.9131,112.242,162.333,204.876,236.662,256.657,265.855,265.773,258.178,244.817,227.334,207.325,186.26,165.349,145.453,127.084,110.475,95.6701,82.6002,71.1401,61.141,52.4498,44.9192,38.4119,32.8023,27.977,23.8346,20.2848,17.2478,14.6532,12.4396,10.5534,8.9477,7.58226,6.42209,5.4371,4.60141,3.89284,3.29237,2.78377,15.2733
1948,61.867,112.104,161.783,204.542,236.329,256.56,265.775,265.782,258.342,245.184,227.923,208.038,186.916,165.771,145.533,126.806,109.89,94.862,81.6573,70.1388,60.1395,51.4882,44.0223,37.5928,32.0659,27.323,23.2591,19.7819,16.8109,14.2755,12.1142,10.2739,8.70835,7.37766,6.24752,5.28837,4.47487,3.78528,3.20104,2.70628,14.8427
1949,61.8607,112.02,161.594,203.862,235.96,256.217,265.697,265.746,258.451,245.541,228.598,209.046,188.139,167.006,146.585,127.553,110.297,94.962,81.5168,69.8315,59.7313,51.0308,43.5528,37.1359,31.6366,26.9292,22.9042,19.4664,16.533,14.0326,11.9032,10.0915,8.5512,7.24274,6.13197,5.18963,4.39064,3.71354,3.14001,2.65442,14.5536
1950,61.8707,112.009,161.478,203.63,235.181,255.821,265.345,265.674,258.439,245.706,229.047,209.841,189.277,168.36,147.956,128.754,111.215,95.5645,81.832,69.9174,59.6526,50.8455,43.3068,36.8624,31.3581,26.6601,22.6528,19.2369,16.327,13.85,11.7428,9.95157,8.42989,7.13802,6.04189,5.11237,4.32454,3.6571,3.0919,2.61346,14.3244
1951,61.8625,112.027,161.453,203.472,234.898,254.953,264.884,265.219,258.194,245.438,228.869,209.861,189.568,168.936,148.72,129.545,111.882,96.0159,82.0453,69.9186,59.4911,50.5748,42.9735,36.5025,30.997,26.3139,22.3311,18.9443,16.0651,13.6182,11.5396,9.77466,8.27668,7.00591,5.92837,5.0151,4.24137,3.58614,3.03144,2.56203,14.0366
